fecha_captura,Metrica,Equipo/Jugador,Valor,Detalle
2026-07-17,Racha invicto,Coquimbo Unido,6,partidos sin perder
2026-07-17,Mas derrotas seguidas,Deportes Limache,4,derrotas consecutivas
2026-07-17,Mejor defensa,Universidad de Chile,10,goles recibidos
2026-07-17,Promedio goles/partido,Liga,2.78,proxy de xG (no oficial)
2026-07-17,Goleador absoluto,Fernando Zampedri,15,Universidad Católica
2026-07-17,Promedio xG/partido,Liga,N/D,requiere proveedor de pago (Opta/Sofascore)
