fecha_captura,Equipo,GF,GC
2026-06-12,Racing Club,17,15
2026-06-12,Instituto,17,17
2026-06-12,Barracas Central,15,15
2026-06-12,Tigre,18,15
2026-06-12,Defensa y Justicia,18,21
2026-06-12,Sarmiento (J),13,20
2026-06-12,Gimnasia y Esgrima (M),14,22
2026-06-12,Banfield,17,19
2026-06-12,Platense,10,15
2026-06-12,Central Córdoba (SdE),11,21
2026-06-12,Newell's Old Boys,15,27
2026-06-12,Atlético Tucumán,15,20
2026-06-12,Deportivo Riestra,5,12
2026-06-12,Aldosivi,6,19
2026-06-12,Estudiantes (RC),5,24
2026-06-13,Independiente Rivadavia,29,15
2026-06-13,Estudiantes (LP),19,7
2026-06-13,Boca Juniors,22,9
2026-06-13,River Plate,22,12
2026-06-13,Argentinos Juniors,17,13
2026-06-13,Vélez Sarsfield,18,12
2026-06-13,Rosario Central,20,16
2026-06-13,Belgrano [n. 1],17,13
2026-06-13,Talleres (C),17,13
2026-06-13,Gimnasia y Esgrima (LP),19,19
2026-06-13,Independiente,24,20
2026-06-13,Lanús,18,15
2026-06-13,Huracán,17,13
2026-06-13,San Lorenzo,14,14
2026-06-13,Unión,24,20
2026-06-13,Racing Club,17,15
2026-06-13,Instituto,17,17
2026-06-13,Barracas Central,15,15
2026-06-13,Tigre,18,15
2026-06-13,Defensa y Justicia,18,21
2026-06-13,Sarmiento (J),13,20
2026-06-13,Gimnasia y Esgrima (M),14,22
2026-06-13,Banfield,17,19
2026-06-13,Platense,10,15
2026-06-13,Central Córdoba (SdE),11,21
2026-06-13,Newell's Old Boys,15,27
2026-06-13,Atlético Tucumán,15,20
2026-06-13,Deportivo Riestra,5,12
2026-06-13,Aldosivi,6,19
2026-06-13,Estudiantes (RC),5,24
2026-06-14,Independiente Rivadavia,29,15
2026-06-14,Estudiantes (LP),19,7
2026-06-14,Boca Juniors,22,9
2026-06-14,River Plate,22,12
2026-06-14,Argentinos Juniors,17,13
2026-06-14,Vélez Sarsfield,18,12
2026-06-14,Rosario Central,20,16
2026-06-14,Belgrano [n. 1],17,13
2026-06-14,Talleres (C),17,13
2026-06-14,Gimnasia y Esgrima (LP),19,19
2026-06-14,Independiente,24,20
2026-06-14,Lanús,18,15
2026-06-14,Huracán,17,13
2026-06-14,San Lorenzo,14,14
2026-06-14,Unión,24,20
2026-06-14,Racing Club,17,15
2026-06-14,Instituto,17,17
2026-06-14,Barracas Central,15,15
2026-06-14,Tigre,18,15
2026-06-14,Defensa y Justicia,18,21
2026-06-14,Sarmiento (J),13,20
2026-06-14,Gimnasia y Esgrima (M),14,22
2026-06-14,Banfield,17,19
2026-06-14,Platense,10,15
2026-06-14,Central Córdoba (SdE),11,21
2026-06-14,Newell's Old Boys,15,27
2026-06-14,Atlético Tucumán,15,20
2026-06-14,Deportivo Riestra,5,12
2026-06-14,Aldosivi,6,19
2026-06-14,Estudiantes (RC),5,24
2026-06-15,Independiente Rivadavia,29,15
2026-06-15,Estudiantes (LP),19,7
2026-06-15,Boca Juniors,22,9
2026-06-15,River Plate,22,12
2026-06-15,Argentinos Juniors,17,13
2026-06-15,Vélez Sarsfield,18,12
2026-06-15,Rosario Central,20,16
2026-06-15,Belgrano [n. 1],17,13
2026-06-15,Talleres (C),17,13
2026-06-15,Gimnasia y Esgrima (LP),19,19
2026-06-15,Independiente,24,20
2026-06-15,Lanús,18,15
2026-06-15,Huracán,17,13
2026-06-15,San Lorenzo,14,14
2026-06-15,Unión,24,20
2026-06-15,Racing Club,17,15
2026-06-15,Instituto,17,17
2026-06-15,Barracas Central,15,15
