fecha_captura,Equipo,GF,GC
2026-06-15,San Pauli (D),29,60
2026-06-16,Bayern de Múnich (C),122,36
2026-06-16,Borussia Dortmund,70,34
2026-06-16,RB Leipzig,66,47
2026-06-16,Stuttgart,71,49
2026-06-16,Hoffenheim,65,52
2026-06-16,Bayer Leverkusen,68,47
2026-06-16,Friburgo,51,57
2026-06-16,Eintracht Fráncfort,61,65
2026-06-16,Augsburgo,45,61
2026-06-16,Mainz 05,44,53
2026-06-16,Unión Berlín,44,58
2026-06-16,Borussia Mönchengladbach,42,53
2026-06-16,Hamburgo,40,54
2026-06-16,Colonia,49,63
2026-06-16,Werder Bremen,37,60
2026-06-16,Wolfsburgo (D),45,69
2026-06-16,Heidenheim (D),41,72
2026-06-16,San Pauli (D),29,60
2026-06-17,Bayern de Múnich (C),122,36
2026-06-17,Borussia Dortmund,70,34
2026-06-17,RB Leipzig,66,47
2026-06-17,Stuttgart,71,49
2026-06-17,Hoffenheim,65,52
2026-06-17,Bayer Leverkusen,68,47
2026-06-17,Friburgo,51,57
2026-06-17,Eintracht Fráncfort,61,65
2026-06-17,Augsburgo,45,61
2026-06-17,Mainz 05,44,53
2026-06-17,Unión Berlín,44,58
2026-06-17,Borussia Mönchengladbach,42,53
2026-06-17,Hamburgo,40,54
2026-06-17,Colonia,49,63
2026-06-17,Werder Bremen,37,60
2026-06-17,Wolfsburgo (D),45,69
2026-06-17,Heidenheim (D),41,72
2026-06-17,San Pauli (D),29,60
2026-06-18,Bayern de Múnich (C),122,36
2026-06-18,Borussia Dortmund,70,34
2026-06-18,RB Leipzig,66,47
2026-06-18,Stuttgart,71,49
2026-06-18,Hoffenheim,65,52
2026-06-18,Bayer Leverkusen,68,47
2026-06-18,Friburgo,51,57
2026-06-18,Eintracht Fráncfort,61,65
2026-06-18,Augsburgo,45,61
2026-06-18,Mainz 05,44,53
2026-06-18,Unión Berlín,44,58
2026-06-18,Borussia Mönchengladbach,42,53
2026-06-18,Hamburgo,40,54
2026-06-18,Colonia,49,63
2026-06-18,Werder Bremen,37,60
2026-06-18,Wolfsburgo (D),45,69
2026-06-18,Heidenheim (D),41,72
2026-06-18,San Pauli (D),29,60
2026-06-19,Bayern de Múnich (C),122,36
2026-06-19,Borussia Dortmund,70,34
2026-06-19,RB Leipzig,66,47
2026-06-19,Stuttgart,71,49
2026-06-19,Hoffenheim,65,52
2026-06-19,Bayer Leverkusen,68,47
2026-06-19,Friburgo,51,57
2026-06-19,Eintracht Fráncfort,61,65
2026-06-19,Augsburgo,45,61
2026-06-19,Mainz 05,44,53
2026-06-19,Unión Berlín,44,58
2026-06-19,Borussia Mönchengladbach,42,53
2026-06-19,Hamburgo,40,54
2026-06-19,Colonia,49,63
2026-06-19,Werder Bremen,37,60
2026-06-19,Wolfsburgo (D),45,69
2026-06-19,Heidenheim (D),41,72
2026-06-19,San Pauli (D),29,60
